replicate,lengthscale,iteration,value,method
0,2.718281828459045,0,0.24719043541187918,cg
0,2.718281828459045,1,0.0867130312082933,cg
0,2.718281828459045,2,0.05544685050236664,cg
0,2.718281828459045,3,0.048210889202266675,cg
0,2.718281828459045,4,0.02474890967284859,cg
0,2.718281828459045,5,0.02099163826192541,cg
0,2.718281828459045,6,0.008931319779245816,cg
0,2.718281828459045,7,0.008655798551527627,cg
0,2.718281828459045,8,0.008029755061771985,cg
0,2.718281828459045,9,0.006187536398593699,cg
0,2.718281828459045,10,0.006022165008306647,cg
0,2.718281828459045,11,0.006013770326691444,cg
0,2.718281828459045,12,0.005652660005647056,cg
0,2.718281828459045,13,0.005648814869821467,cg
0,2.718281828459045,14,0.0051965561179009336,cg
0,2.718281828459045,15,0.0051958013008611085,cg
0,2.718281828459045,16,0.005189895800105934,cg
0,2.718281828459045,17,0.005086248073720585,cg
0,2.718281828459045,18,0.00412972270313078,cg
0,2.718281828459045,19,0.004075941617292547,cg
0,2.718281828459045,20,0.0037749560839281187,cg
0,2.718281828459045,21,0.0037743836515464284,cg
0,2.718281828459045,22,0.0034894543705475036,cg
0,2.718281828459045,23,0.0034860516481151384,cg
0,2.718281828459045,24,0.0033062374897834014,cg
0,2.718281828459045,25,0.0032975322128206428,cg
0,2.718281828459045,26,0.0030644705787055285,cg
0,2.718281828459045,27,0.003053885225617155,cg
0,2.718281828459045,28,0.003028673884658432,cg
0,2.718281828459045,29,0.002877187713056283,cg
0,2.718281828459045,30,0.0028262939687259555,cg
0,2.718281828459045,31,0.0027594503756286355,cg
0,2.718281828459045,32,0.0027562943564245278,cg
0,2.718281828459045,33,0.0027534510500792832,cg
0,2.718281828459045,34,0.002751325740646282,cg
0,2.718281828459045,35,0.002642838091621689,cg
0,2.718281828459045,36,0.0026156577968417093,cg
0,2.718281828459045,37,0.0025270693278648883,cg
0,2.718281828459045,38,0.002522217233196802,cg
0,2.718281828459045,39,0.002512777542968586,cg
0,2.718281828459045,40,0.002512686263721197,cg
0,2.718281828459045,41,0.002360594258274555,cg
0,2.718281828459045,42,0.002360539757016579,cg
0,2.718281828459045,43,0.0022326231569112748,cg
0,2.718281828459045,44,0.0022323633959878382,cg
0,2.718281828459045,45,0.00217366580493692,cg
0,2.718281828459045,46,0.002163156442326582,cg
0,2.718281828459045,47,0.0021346355814935783,cg
0,2.718281828459045,48,0.0021098300622569162,cg
0,2.718281828459045,49,0.002107227156717231,cg
0,2.718281828459045,50,0.0021038236325679424,cg
0,2.718281828459045,51,0.0021037783219629773,cg
0,2.718281828459045,52,0.002055651943867476,cg
0,2.718281828459045,53,0.002054260893189609,cg
0,2.718281828459045,54,0.002052321992556149,cg
0,2.718281828459045,55,0.002048232014699718,cg
0,2.718281828459045,56,0.002009166370222476,cg
0,2.718281828459045,57,0.0020088864119195667,cg
0,2.718281828459045,58,0.002007579413815148,cg
0,2.718281828459045,59,0.002006045570319111,cg
0,2.718281828459045,60,0.0020051577228644844,cg
0,2.718281828459045,61,0.002004432983939913,cg
0,2.718281828459045,62,0.0019716618530067603,cg
0,2.718281828459045,63,0.0019682645240531415,cg
0,2.718281828459045,64,0.001966071756685792,cg
0,2.718281828459045,65,0.001966036863173341,cg
0,2.718281828459045,66,0.0019414419110000399,cg
0,2.718281828459045,67,0.0019180732362512598,cg
0,2.718281828459045,68,0.001911977365319126,cg
0,2.718281828459045,69,0.0018877600792908617,cg
0,2.718281828459045,70,0.0018877490652312856,cg
0,2.718281828459045,71,0.0018704356989248771,cg
0,2.718281828459045,72,0.0018618302142963225,cg
0,2.718281828459045,73,0.0018606328590446513,cg
0,2.718281828459045,74,0.0018606116213833242,cg
0,2.718281828459045,75,0.001846856894991635,cg
0,2.718281828459045,76,0.0018285227020453118,cg
0,2.718281828459045,77,0.001800160472158144,cg
0,2.718281828459045,78,0.0017888360879597198,cg
0,2.718281828459045,79,0.001788538432127214,cg
0,2.718281828459045,80,0.0017814998413582465,cg
0,2.718281828459045,81,0.001771928377533112,cg
0,2.718281828459045,82,0.001769589496326027,cg
0,2.718281828459045,83,0.001767051992497648,cg
0,2.718281828459045,84,0.0017591340461764612,cg
0,2.718281828459045,85,0.0017590748277135394,cg
0,2.718281828459045,86,0.0017543848926646008,cg
0,2.718281828459045,87,0.0017517508666161298,cg
0,2.718281828459045,88,0.0017377703431634534,cg
0,2.718281828459045,89,0.0017377479151668726,cg
0,2.718281828459045,90,0.0017363365364932413,cg
0,2.718281828459045,91,0.001736159872029231,cg
0,2.718281828459045,92,0.001713051868362417,cg
0,2.718281828459045,93,0.0017130028083150992,cg
0,2.718281828459045,94,0.0017125701999007627,cg
0,2.718281828459045,95,0.00171205966808445,cg
0,2.718281828459045,96,0.0016982615088728106,cg
0,2.718281828459045,97,0.0016898638748792268,cg
0,2.718281828459045,98,0.0016897783945790722,cg
0,2.718281828459045,99,0.00168874101093815,cg
